"Zone","Mosque ID","Mosque Name","Treatment Name","Mosque Name on Ground","Imam Name","Mosque Built Date","Shrine Name","Women’s prayer section","Rural = 1 / Urban = 2","WhatsApp Location","Latitude","Longitude","Closest Mosque (WhatsApp Location)","Closest Mosque (Latitude)","Closest Mosque (Longitude)","Photo (Inside)","Photo (Outside)","Comments"
"Lahore","rhlwr","Jamia Masjid Shah Shams Qadari Lahore","Women Religious Info Share","Jamia Masjid Shah Shamas Qadri Lahore","Not Found","","","","2.0","https://maps.google.com/maps?q=31.5486526%2C74.3390041&z=17&hl=en","31.54865","74.339","","","","https://drive.google.com/file/d/1q_hWdJJ7QuIznIvLdiHIKX2Dyo6bT9Vc/view","https://drive.google.com/open?id=1N6vrjjKx2UFEieUUvhtePkSsQ-NO4mgu",""
"Lahore","xdhvt","Jamia Masjid Australia Lahore","Community Religious Info Share","Jamia Masjid Australia","Not Found","","","","2.0","https://maps.google.com/maps?q=31.576193%2C74.3336292&z=17&hl=en","31.57619","74.33363","","","","https://drive.google.com/open?id=1xn8RV5tV_K5P2NIWjCkMVYbc8Cdcrt5C","https://drive.google.com/open?id=1goIv0_ci-4qxIt7I7paXMf_Bjb7fePCV",""
"Lahore","fjkfw","Jamia Masjid Shah Ali Rungareez Lahore","Community Secular Info Share","Jaima masjid Ali shah rungareez","Molana rehmat jalil","1890.0","Shah Ali rangrez","","2.0","https://maps.google.com/maps?q=31.5693412%2C74.3370371&z=17&hl=en","31.56934","74.33704","","","","https://drive.google.com/open?id=1Ecqqge_Th-hOWYxVCnSObMeyNKlvkI1K","https://drive.google.com/open?id=13IvzXX7w8wtefWKRPD2SB6k7GqjLkgL-",""
"Lahore","ekvzq","Jamia Masjid Ghangaara Nawali Lahore","Women Religious Info Share","Jamia Masjid Kingrian wali Mozang","Moulana hafeez ur rehman","1890.0","","","2.0","https://maps.google.com/maps?q=31.5586574%2C74.3135574&z=17&hl=en","31.5586574","74.3135574","","","","https://drive.google.com/open?id=1uy6qDWU5appuycefutCYc43w_8FaxnGH","https://drive.google.com/open?id=1Sx20HJD3ulbIKFxPjmy0VYTjn7DEU2oy",""
"Lahore","moorq","Jamia Masjid Takiya Abdul Wahaab Lahore","Control","Jamia Masjid Sakhi Abdul Wahab","Mukhtar Ahmed chisti","1920.0","","","2.0","https://maps.google.com/maps?q=31.5534798%2C74.3125106&z=17&hl=en","31.5534798","74.3125106","","","","https://drive.google.com/open?id=1dQpZB2ZZr7YzzDhQRhiyfJBGYBJYPaoG","https://drive.google.com/open?id=1YV8RvDiS3nOTbKovf2rZtvVoQizGmGtA",""
"Lahore","wywfr","Jamia Masjid Chowk Dalkara Lahore","Women Secular Info Share","Jamia Masjid Chowk Dalkara Lahore","Maulana fayaz Hussain Shah","1974.0","","","2.0","https://maps.google.com/maps?q=31.5755784%2C74.3292907&z=17&hl=en","31.57558","74.32929","","","","https://drive.google.com/open?id=16dWKNJGmt8AGL7fEnGIN71_I-eGYDPAH","https://drive.google.com/open?id=1nDBlAkLDGzuDR3ZekNzPwNjQDq4CqNER",""
"Lahore","pmeqo","Jamia Masjid Darbar Shah Chiraag Lahore","Control","Jamia Masjid Darbar Shah Chiraag Lahore","Maulana Muhammad Qasim","1995.0","Shah Chiraag","","2.0","https://maps.google.com/maps?q=31.5662015%2C74.3146421&z=17&hl=en","31.5662015","74.3146421","","","","https://drive.google.com/open?id=1YWOoS0DiquUAtmmJ1dliaAlutOygRw0s","https://drive.google.com/open?id=1d1WSb3zzd0ot7FSnh7qTVvRykbsnPH3i",""
"Lahore","njkhf","Jamia Masjid Rasool Shaheya Landa Bazar Lahore","Control","Jamia Masjid Rasool Shaheya Landa Bazar Lahore","Khalil ur Rehman","1900.0","","","2.0","https://maps.google.com/maps?q=31.5877677%2C74.345873&z=17&hl=en","31.58777","74.34587","","","","https://drive.google.com/file/d/1ocmf0DW1NU2yCLmXoADOEttVtbzzNBSt/view?usp=sharing","https://drive.google.com/file/d/1ZE7YlLp-92AV_5ncC3NUeMb-_TkTxTnY/view?usp=sharing",""
"Lahore","hbroz","Jamia Masjid Hanfiya Peer Hakum Shah Lahore","Control","Jamiya masjid hanfiya peer hakum shah","Qari zakir Hussain","1956.0","Peer Hakum shah","","2.0","https://maps.google.com/maps?q=31.5651681%2C74.3229816&z=17&hl=en","31.56517","74.32298","","","","https://drive.google.com/open?id=1znZ-eB3GTnmq6riifjKvjuUCrhGEixSJ","https://drive.google.com/open?id=1Vo1YJV-wa2qMb8zAYI3ljudCLIwhy-hE",""
"Lahore","zqlfc","Jamia Masjid Muslim Luhari Gate Lahore","Control","Jamia Masjid Muslim Luhari Gate Lahore","Not Found","","","","2.0","https://maps.google.com/maps?q=31.5767703%2C74.3136464&z=17&hl=en","31.57677","74.31365","","","","https://drive.google.com/open?id=1nOrFDFX0ECaJ3B4pJc-zVMM08bFAmrNd","https://drive.google.com/open?id=1U4cs7QX9XT6TBau0UX1OHsAgEXmT4Hi7",""
"Lahore","ptnjj","Jamia Masjid Gamti Bazar Lahore","Control","Jamia Syedna Abubakar Siddique Gumti Bazar","Hafiz Muhammad Hanif","2010.0","","","2.0","https://maps.google.com/maps?q=31.5822219%2C74.3164097&z=17&hl=en","31.5829","74.30598","","","","https://drive.google.com/open?id=1WmgbYJtNNhnsQ0uTFF72wi-vt0rWT_Y5","https://drive.google.com/open?id=1NN2UYQIiEDPrBhgu7UPa9vEcxT_gcfc-",""
"Lahore","vtoiy","Jamia Masjid Takiya Sain Sardaara Lahore","Community Religious Info Share","Jamia Masjid Takiya Sain Sardaara Lahore","Qari Muhammad Ramzan","1950.0","Takiya Sain Sardaara Darbar","","2.0","https://maps.google.com/maps?q=31.5524641%2C74.3175409&z=17&hl=en","31.5524641","74.3175409","","","","https://drive.google.com/open?id=1OJU-0hIZcS7BvsT0Hs4Z85U2OAszd5aR","https://drive.google.com/file/d/1sF_n_2OyD_wEGOTyLM3jj-IPCKk43z2g/view",""
"Lahore","bpozt","Jamia Masjid Madina Purani Anarkali Lahore","Community Religious No Info Share","Madina masjid purani anarkali","Maulana Nazim Ashraf","2012.0","","","2.0","https://maps.google.com/maps?q=31.5644595%2C74.3106655&z=17&hl=en","31.5644595","74.3106655","","","","https://drive.google.com/open?id=18yVdX2rk1ZP8NH0vaobRxFVXCpFCHmJ_","https://drive.google.com/open?id=12wHTasG807YamjS4PrN4rVWxUmYGVYV6",""
"Lahore","gqomo","Jamia Masjid Abu Bakar Sadiq Jalu Moor Lahore","Women Religious No Info Share","Jamya masjid abubakar sadiq","Syed awais mehboob shah","1940.0","","","2.0","https://maps.google.com/maps?q=31.596572%2C74.4995227&z=17&hl=en","31.59657","74.49952","","","","https://drive.google.com/open?id=1iOIs2wHP75aoXAp-VGa-g-UOHgxUoxG0, https://drive.google.com/open?id=1YY1fSeBoRpPcQ8oFuqi6njM1EmPKrfPj, https://drive.google.com/open?id=1oFV1AjTO0L8iNGcfYzMySYdQK1702erp","https://drive.google.com/open?id=1Ee7FFGdUFodpiYZ1-W8JCqp_JfLKSmyb",""
"Lahore","yhrds","Jamia Masjid Darbar Meer Hussain Rangani Lahore","Community Religious Info Share","Jamia masjid meeran hussain ranjani","Not Found","","","","2.0","https://maps.google.com/maps?q=31.5862196%2C74.3449832&z=17&hl=en","31.58622","74.34498","","","","https://drive.google.com/open?id=1xiu1_Q8NtK6FoCiUixH9dekcUkseyfba","https://drive.google.com/open?id=1WY3tsNfCSkvGRzQckXAOK8QuzfeTi_S_",""
"Lahore","lwumj","Jamia Masjid Neela Gumbat Lahore","Control","Jamiyan Masjid Nila Gumbad New Anarkali Lahore","Moulana Abu bakar","1970.0","","","2.0","https://maps.app.goo.gl/Rxz7YGn4yDVtgsDJ7","31.5699308","74.3089839","","","","https://drive.google.com/open?id=1jOLXk57WXLNZG68w6ZSIkXjfcS7o5OF4","https://drive.google.com/open?id=1sUjnlN3muEANEsRC9RCdy_cbJjwlvcOZ",""
"Lahore","zhcjl","Jamia Masjid Esha Shahab Lahore","Community Secular Info Share","zhcjl	Jamia Masjid Esha Shahab Lahore","Not Found","","","","2.0","https://maps.google.com/maps?q=31.5806818%2C74.3605627&z=17&hl=en","31.58068","74.36056","","","","https://drive.google.com/open?id=1035jVkTF3uYMT6KeIsGiKlqQ_d6UC2-Y, https://drive.google.com/open?id=1J0BHJFkZ4OmEi6_w5UvkNyTIa4rEn0VJ, https://drive.google.com/open?id=11SGSxztIlGwXWDEVUxhAQjY32Hy75r8m, https://drive.google.com/open?id=1hwbZrtJj46zRoFDs-yEYjb7MoKUBTT3N, https://drive.google.com/open?id=1pQ-ZyiIT4Krfn6YO6d1T023gy7SwtJTz","https://drive.google.com/open?id=11yNedQOuXH6q0UmCH9MYob3dQrKTPi6j",""
"Lahore","dwebz","Jamia Masjid Hamam Wali Sotar Mandi Lahore","Community Religious Info Share","Jamia Masjid Hamam Wali Sotar Mandi Lahore","Allama Ghulam Abbas","1940.0","","","2.0","https://maps.google.com/maps?q=31.5801501%2C74.3153044&z=17&hl=en","31.58015","74.3153","","","","https://drive.google.com/open?id=1QukZ6nRpLeOmvQIFmKYTLxIopMDuUeMq, https://drive.google.com/open?id=1STfeR7XXoFCxE7Ol_qjO8lziHpCIw9WU, https://drive.google.com/open?id=1QHuYk57zWRYnEe6wWLfOMXJTgOVpsnyd","https://drive.google.com/open?id=1h7Wh14_K2YMlEnPuWkoSQC41oRoT_0Wc, https://drive.google.com/open?id=1Hrmf3ogjL89TnzUzwsb6Z1WJ0Z3yEmbC, https://drive.google.com/open?id=1T4FW05JhPGvDtatlUq-1lmBj2bCosqqW",""
"Lahore","qecjr","Darbar Hazrat Gohar peer Shah","Control","Jamia Masjid Darbar Shah Gohar peer","Hafiz Muhammad Sadeeq Akbar","1980.0","Hazrat Gohar Peer Shah","","2.0","https://maps.google.com/maps?q=31.6009372%2C74.3954905&z=17&hl=en","31.60094","74.39549","","","","https://drive.google.com/open?id=1PQOeRvaZYILlt888BY6jYhhKjtjEBSHx","https://drive.google.com/open?id=1B2xTPAtHwcZMGMn9ihvZKGr6DuAWccgb",""
"Lahore","hkeci","Jamia Mosjid Noorani Qasaban Wali","Women Religious Info Share","Noorani jamia masjid","Qari Zulfiqar","1957.0","","","2.0","https://maps.google.com/maps?q=31.5499248%2C74.3756515&z=17&hl=en","31.54992","74.37565","","","","https://drive.google.com/open?id=1uK5cfAmapH9y3qz_xwxMHPuJzk0B7owb","https://drive.google.com/open?id=1t28c_QM80AEFd4lDriCXH7vdGLm7V1BF",""
"Lahore","cwfim","Jamia Masjid Hanifya Ghosia Scheme # 2 Lahore","Community Secular No Info Share","Jamia Masjid Hanfiya Ghosia Scheme 2 Lahore","Qari mufti Muhammad imran","1995.0","","","2.0","https://maps.google.com/maps?q=31.5883979%2C74.3940933&z=17&hl=en","31.5884","74.39409","","","","https://drive.google.com/open?id=1hwExPMXfydUM6QbRn4LkWtXUX25WHulQ","https://drive.google.com/open?id=1-2QpoEeJL5e_V0oLaThQKGFWREeeY5B3",""
"Lahore","dxome","Jamia Masjid Bedian Road Lahore","Community Secular Info Share","جامع مسجد حنفیہ گلی نمبر 9 بیڈن روڈ لاہور","Noor Muhammad Qadri","1965.0","","","2.0","https://maps.app.goo.gl/5nuf3PNZkhGtgEDX7","31°33'49.5","74°19'19.1","","","","https://drive.google.com/open?id=1XpWpu-VL2Aw7U0QALrvjmTNV1Sxg1fCR, https://drive.google.com/open?id=1dkr122OOeVYCq16Ktbvlrp0haiO2-6C6, https://drive.google.com/open?id=1YVfTZwXjGwtwb6q5P0vbQC51R5vO6EgY","https://drive.google.com/file/d/1lACen18TA9y0Ss173c9rxbwesbrW9d3n/view",""
"Lahore","ieyaf","Jamia Masjid Dehli Muslim Lahore","Women Religious Info Share","Jamia masjid dehli muslim","Allah Nawaz","1960.0","","","2.0","https://maps.google.com/maps?q=31.5740767%2C74.3134663&z=17&hl=en","31.57408","74.31347","","","","https://drive.google.com/open?id=1x_Z2tLnluG4DjOHBD5VaYFUVejq9AUas","https://drive.google.com/open?id=1yBoHJKJAs-dN8lP-ZYYrlowalQvAD8Y_",""
"Lahore","buvya","Jamia Masjid Takiya Peer Hassan Shah Wali Lahore","Community Religious Info Share","Jamia Masjid Takiya Peer Hassan Shah Wali Lahore","Qari naseer Qureshi","1991.0","Darbar Takiya peer Hassan shah wali","","2.0","https://maps.app.goo.gl/pgSCi6dwrComz1HGA","31°34'07.2","74°19'52.7","","","","https://drive.google.com/open?id=1-l1I5klAhcLgCEZsVv2LScdhK0bON72K, https://drive.google.com/open?id=1XhLMgQUF3hRwytO8XJN3ss5HuqZAIKCL","https://drive.google.com/open?id=1A_Yo_HZAGYieGkyKDf3bNnoiylo104hY, https://drive.google.com/open?id=1sv72v86YI7mD9tBXtK_3BW3xSo0ol2JH, https://drive.google.com/open?id=1HJ7e4yPc6hh6SqyzEVm4lbLguVOPwD8c",""
"Lahore","tnjaz","Jamia Masjid Noor Eman Wali Kashmir Bazar Lahore","Women Religious No Info Share","Jamia Masjid Noor Eman Wala","Qari moulana Shafiq","1970.0","","","2.0","https://maps.google.com/maps?q=31.5835261%2C74.3226613&z=17&hl=en","31.5835261","74.3226613","","","","https://drive.google.com/file/d/1BKYwxunTVjmTGQVZO24H-64oVlGGxz2p/view","https://drive.google.com/open?id=1HWK2N4ppCDwY1Kc258Lr8Dg8SdFbol6b",""
"Lahore","shcuy","Jamia Masjid Bibi Pak Daman Lahore","Control","Jamia Masjid Bibi Pak Daman","","","","","2.0","https://maps.google.com/maps?q=31.5644371%2C74.3387827&z=17&hl=en","31.56444","74.33878","","","","https://drive.google.com/open?id=1TpgfThCI1PmY7jUNgRw2hm6hNFF1loIR","https://drive.google.com/open?id=1m6KDaILkzom45SameYZu-JX6HvSVOYSM",""
